N;наименование;вес
;Рюкзак Deuter Patagonia 90+15;2700
;Рюкзак Deuter Aircontact PRO 70+15;3150
;Рюкзак Deuter FreeRider 26;1200
;Рюкзак Deuter Guide 45+;1800
;Рюкзак SPLAV Easy Pack v3 Si;360
;Дождевик д/рюкзака 100л;155
;Коврик Term-a-Rest SoLITE;400
;Коврик Term-a-Rest (надувной);460
;Коврик SPLAV 4мм;218
;Коврик ижевский;430
;Подушка надувная Decathlon;100
;Спальник Marmot оранж (-19 С°);2400
;Спальник Marmot синий (-11);1735
;Спальник Marmot зеленый (+1);1695
;Спальник Sivera Шишига -15 (-8);990
;Спальник летний (+13);962
;Пенопопа;62
;Игра UNO;164
Электроника;;
;Навигатор Garmin 64 ST (с аккум);235
;Аккумулятор PowerMonkey 9000 mAh ;244
;Панель солнечная PowerMonkey ;203
;Кейс PowerMonkey;93
;Солнечная панель ALLPOWERS;585
;Рация Yaesu FT-60;375
;Рация Yaesu VX-6R;275
;Зарядка для Yaesu;78
;Рация Kenwood TK-8F;130
;Аккумулятор д/Kenwood 1800mAh ;80
;Аккумулятор д/Kenwood 2100mAh ;80
;Тангента д/Kenwood;135
;Стакан для зарядки Kenwood ;84
;Адаптер для зарядки Kenwood TK-8F ;208
Питье;;
;Бутылка ПЭТ пустая 0,5 л;20
;Бутылка ПЭТ пустая 0,6 л;25
;Бутылка ПЭТ пустая 1,0 л;32
;Бутылка ПЭТ пустая 1,25 л;35
;Бутылка ПЭТ пустая 2,0 л;45
;Фляга маягкая Camp 0,5 л;30
;Бутылка SPLAV (1 л);145
